group,priority_level,url,target_keyword,reason,linked_from_homepage,linked_from_footer
Homepage and core pages,P1,https://www.stainlesssteeldealers.com/,Stainless Steel Dealers in Chennai,Homepage,yes,yes
Homepage and core pages,P1,https://www.stainlesssteeldealers.com/stainless-steel/,stainless steel suppliers in Chennai,Core stainless hub,yes,yes
Homepage and core pages,P1,https://www.stainlesssteeldealers.com/products/,stainless steel products Chennai,Core product hub,yes,yes
Homepage and core pages,P1,https://www.stainlesssteeldealers.com/request-quote/,stainless steel quote Chennai,RFQ conversion page,yes,yes
Homepage and core pages,P1,https://www.stainlesssteeldealers.com/contact-us/,Bharat Metals Chennai contact,Local contact page,yes,yes
Chennai / Ambattur / Coimbatore / Sricity / Tada pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-suppliers-chennai/,stainless steel suppliers Chennai,Primary city money page,yes,yes
Jindal make pages,P1,https://www.stainlesssteeldealers.com/jindal-stainless-steel-sheets-chennai/,Jindal stainless steel sheet Chennai,Jindal sheet intent,yes,yes
Jindal make pages,P1,https://www.stainlesssteeldealers.com/jindal-ss-304-sheet-chennai/,Jindal SS 304 sheet Chennai,Jindal SS 304 sheet intent,yes,yes
Jindal make pages,P1,https://www.stainlesssteeldealers.com/jindal-ss-316-sheet-chennai/,Jindal SS 316 sheet Chennai,Jindal SS 316 sheet intent,yes,yes
Jindal make pages,P1,https://www.stainlesssteeldealers.com/jindal-stainless-steel-pipes-chennai/,Jindal stainless steel pipe Chennai,Jindal pipe intent,yes,yes
Jindal make pages,P1,https://www.stainlesssteeldealers.com/jindal-polished-pipes-chennai/,Jindal polished pipe Chennai,Jindal polished pipe intent,yes,yes
Price pages,P1,https://www.stainlesssteeldealers.com/ss-304-sheet-price-chennai/,SS 304 sheet price Chennai,Price intent,yes,yes
Price pages,P1,https://www.stainlesssteeldealers.com/ss-316-sheet-price-chennai/,SS 316 sheet price Chennai,Price intent,yes,yes
Price pages,P1,https://www.stainlesssteeldealers.com/stainless-steel-pipe-price-chennai/,stainless steel pipe price Chennai,Price intent,no,no
