Path,Page type,H1,Title,Meta description,True main content word count,Generic repeated phrases found,Hero image exists,Hero old placeholder/background,Hero asset,Popular enquiry search section exists,Popular searches format,FAQ quality,RFQ checklist exists,Cards fully clickable,Finish/service options,Needs urgent manual/content repair
/about-us/,core,About Bharat Metals,About Bharat Metals | Stainless Steel Dealers in Chennai,"About Bharat Metals, a Chennai stainless steel dealer, stockist, supplier and wholesaler established in 1986.",407,none,yes,no,asset ok,no,missing,page-specific,no,likely full-card anchors,not applicable,no
/aluminium-bars/,material,Aluminium Bars Suppliers in Chennai,Aluminium Bars in Chennai | Bharat Metals,"Aluminium bars suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium-coils/,material,Aluminium Coils Suppliers in Chennai,Aluminium Coils in Chennai | Bharat Metals,"Aluminium coils suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium-flats/,material,Aluminium Flats Suppliers in Chennai,Aluminium Flats in Chennai | Bharat Metals,"Aluminium flats suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium-pipes/,material,Aluminium Pipes Suppliers in Chennai,Aluminium Pipes in Chennai | Bharat Metals,"Aluminium pipes suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium-plates/,material,Aluminium Plates Suppliers in Chennai,Aluminium Plates in Chennai | Bharat Metals,"Aluminium plates suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium-rods/,material,Aluminium Rods Suppliers in Chennai,Aluminium Rods in Chennai | Bharat Metals,"Aluminium rods suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium-sheets/,material,Aluminium Sheets Suppliers in Chennai,Aluminium Sheets in Chennai | Bharat Metals,"Aluminium sheets suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/aluminium/,material,Aluminium Suppliers in Chennai,Aluminium Suppliers in Chennai | Bharat Metals,"Aluminium suppliers in Chennai for commercial aluminium sheets, plates, coils, pipes, flats, rods, bars enquiries through Bharat Metals.",399,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/how-to-send-stainless-steel-rfq/,blog,What Details to Send for a Fast Stainless Steel Quote,What Details to Send for a Fast Stainless Steel Quote | Bharat Metals Blog,"A simple RFQ checklist for product, grade, size, finish, quantity and delivery location.",731,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/,core,Bharat Metals Blog,Bharat Metals Blog | Stainless Steel Buyer Guides,"Buyer guides for stainless steel grades, product forms, finishes, certificates and city supply support.",526,none,yes,no,asset ok,no,missing,page-specific,yes,likely full-card anchors,not applicable,no
/blog/polished-stainless-steel-pipes-chennai/,blog,Polished Stainless Steel Pipes in Chennai: Buyer Checklist,Polished Stainless Steel Pipes in Chennai: Buyer Checklist | Bharat Metals Blog,"Checklist for polished pipe enquiries for railings, interiors and decorative work.",717,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/ss-202-vs-ss-304-railing-work/,blog,SS 202 vs SS 304 for Railing and Fabrication Work,SS 202 vs SS 304 for Railing and Fabrication Work | Bharat Metals Blog,A practical buyer note for railing contractors comparing SS 202 and SS 304.,722,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/ss-304-vs-ss-316/,blog,SS 304 vs SS 316: Which Grade Should Fabricators Choose?,SS 304 vs SS 316: Which Grade Should Fabricators Choose? | Bharat Metals Blog,"Compare SS 304 and SS 316 for corrosion exposure, fabrication, coastal use and RFQ clarity.",727,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-for-automobile-industries-tamil-nadu/,blog,Stainless Steel for Automobile and Auto Component Industries in Tamil Nadu,Stainless Steel for Automobile and Auto Component Industries in Tamil Nadu | Bharat Metals Blog,Common stainless steel forms for automotive and component buyers.,716,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-for-coastal-and-marine-use/,blog,Stainless Steel for Coastal and Marine Use: 304 vs 316 Buying Notes,Stainless Steel for Coastal and Marine Use: 304 vs 316 Buying Notes | Bharat Metals Blog,"How to discuss 304 and 316 for marine, coastal and export-facing enquiries.",723,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-for-commercial-kitchens/,blog,Stainless Steel for Hotel and Commercial Kitchen Equipment,Stainless Steel for Hotel and Commercial Kitchen Equipment | Bharat Metals Blog,Material forms and finish notes for hotel and commercial kitchen equipment fabricators.,713,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-for-food-and-pharma/,blog,Stainless Steel for Food Processing and Pharma Equipment,Stainless Steel for Food Processing and Pharma Equipment | Bharat Metals Blog,Common stainless steel requirements for food processing and pharma equipment buyers.,718,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-material-test-certificate/,blog,MTC and Mill Certificate for Stainless Steel: What Buyers Should Know,MTC and Mill Certificate for Stainless Steel: What Buyers Should Know | Bharat Metals Blog,Practical notes on certificate requests for stainless steel buyers.,720,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-perforated-sheets-wire-mesh/,blog,Stainless Steel Perforated Sheets and Wire Mesh: Uses and Buying Tips,Stainless Steel Perforated Sheets and Wire Mesh: Uses and Buying Tips | Bharat Metals Blog,How to specify perforated sheets and wire mesh for industrial and architectural use.,724,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-pipes-welded-vs-seamless/,blog,Stainless Steel Welded Pipe vs Seamless Pipe: Buyer Guide,Stainless Steel Welded Pipe vs Seamless Pipe: Buyer Guide | Bharat Metals Blog,Understand welded and seamless stainless steel pipe enquiries before asking for a quote.,727,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-plates-buyer-guide/,blog,Stainless Steel Plates: Buyer Guide for Tamil Nadu Industries,Stainless Steel Plates: Buyer Guide for Tamil Nadu Industries | Bharat Metals Blog,"Plate enquiry notes for thickness, cutting, grade, certificate and application.",719,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-sheet-finishes/,blog,"Stainless Steel Sheet Finishes: 2B, Mirror, Matt, Hairline and BA","Stainless Steel Sheet Finishes: 2B, Mirror, Matt, Hairline and BA | Bharat Metals Blog",How to describe finish requirements for stainless steel sheets in a quotation.,742,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-supply-tamil-nadu-cities/,blog,"Stainless Steel Supply Across Tamil Nadu: Chennai to Coimbatore, Hosur and Trichy","Stainless Steel Supply Across Tamil Nadu: Chennai to Coimbatore, Hosur and Trichy | Bharat Metals Blog",How Chennai-based stainless steel supply supports enquiries across Tamil Nadu.,723,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/blog/stainless-steel-supply-to-sricity-tada-tirupati/,blog,"Stainless Steel Supply to Sricity, Tada and Tirupati: Buyer Guide","Stainless Steel Supply to Sricity, Tada and Tirupati: Buyer Guide | Bharat Metals Blog","Supply guidance from Chennai for buyers in Sricity, Tada, Renigunta and Tirupati.",718,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/brass-bars/,material,Brass Bars Suppliers in Chennai,Brass Bars in Chennai | Bharat Metals,"Brass bars suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/brass-bush-pipes/,material,Brass Bush Pipes Suppliers in Chennai,Brass Bush Pipes in Chennai | Bharat Metals,"Brass bush pipes suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",269,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/brass-flats/,material,Brass Flats Suppliers in Chennai,Brass Flats in Chennai | Bharat Metals,"Brass flats suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
/brass-pipes/,material,Brass Pipes Suppliers in Chennai,Brass Pipes in Chennai | Bharat Metals,"Brass pipes suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",258,none,yes,no,asset ok,no,missing,page-specific,yes,not applicable,not applicable,no
